     src  simTime  srcNeighbor  delTime  hopCount  update  dir
M0    55        0            1        2         9       1   11
M1    15        0            1        1         5       1    2
M2    94        0            1        3        12       1   11
M3    19        0            1        2         9       1    2
M4    45        1            1        2         8       1    2
M5    91        1            2        2        11       1   11
M6    15        1            4        1         5       1    2
M7    48        2            1        2        11       1    2
M8    37        2            1        2         9       1    2
M9    10        2            2        0         2       1   11
M10   93        2            3        3        11       1   11
M11    9        3            2        3         8       1    2
M12   80        3            1        2         9       1   11
M13   55        3            2        2         9       1    2
M14   35        3            3        1         7       1    2
M15   59        3            1        3        13       1    2
