# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8.0000 F2 1000 2 2.0000 n54 n43 29 N n54->n0->n43
13.0000 F1 1000 5 9.0000 n53 n91 29 N n53->n4->n1->n0->n3->n91
14.0000 F0 1000 7 12.0000 n93 n59 29 N n93->n3->n0->n1->n4->n9->n12->n59
21.0000 F4 1000 7 11.0000 n32 n83 29 N n32->n11->n1->n0->n3->n37->n75->n83
23.0000 F5 1000 4 11.0000 n63 n49 29 N n63->n15->n2->n0->n49
24.0000 F6 1000 6 10.0000 n4 n66 29 N n4->n1->n0->n2->n45->n57->n66
26.0000 F3 1000 6 18.0000 n57 n96 29 N n57->n45->n2->n0->n1->n4->n96
31.0000 F8 1000 5 13.0000 n93 n17 29 N n93->n3->n0->n1->n4->n17
31.0000 F10 1000 4 9.0000 n36 n91 29 N n36->n35->n13->n3->n91
32.0000 F12 1000 5 6.0000 n88 n56 29 N n88->n49->n0->n2->n45->n56
33.0000 F9 1000 4 13.0000 n93 n4 29 N n93->n3->n0->n1->n4
35.0000 F11 1000 5 11.0000 n69 n46 29 N n69->n1->n0->n2->n45->n46
40.0000 F7 1000 8 24.0000 n62 n22 29 N n62->n14->n8->n7->n3->n0->n1->n4->n22
42.0000 F18 1000 4 4.0000 n78 n71 29 N n78->n0->n2->n15->n71
45.0000 F15 1000 4 13.0000 n73 n32 29 N n73->n33->n1->n11->n32
48.0000 F17 1000 4 12.0000 n47 n32 29 N n47->n0->n1->n11->n32
53.0000 F24 1000 1 3.0000 n7 n10 29 N n7->n10
56.0000 F25 1000 1 4.0000 n30 n3 29 N n30->n3
57.0000 F16 1000 8 23.0000 n77 n96 29 N n77->n70->n65->n18->n3->n0->n1->n4->n96
58.0000 F19 1000 6 18.0000 n81 n37 29 N n81->n77->n70->n65->n18->n3->n37
62.0000 F27 1000 4 6.0000 n79 n32 29 N n79->n69->n1->n11->n32
63.0000 F22 1000 4 17.0000 n30 n28 29 N n30->n3->n0->n1->n28
64.0000 F14 1000 7 34.0000 n62 n28 29 N n62->n14->n8->n7->n3->n0->n1->n28
69.0000 F13 1000 6 41.0000 n12 n24 29 N n12->n9->n4->n1->n0->n3->n24
70.0000 F23 1000 3 22.0000 n1 n93 29 N n1->n0->n3->n93
77.0000 F20 1000 6 35.0000 n27 n85 29 N n27->n4->n1->n0->n2->n45->n85
79.0000 A37 1000 2 3.0000 n7 n14 29 N n7->n8->n14
84.0000 A30 1000 2 22.0000 n0 n4 29 N n0->n1->n4
84.0000 A31 1000 2 20.0000 n1 n3 29 N n1->n0->n3
87.0000 A34 1000 2 17.0000 n4 n0 29 N n4->n1->n0
92.0000 R_A37 500 2 13.0000 n14 n7 29 Y n14->n8->n7
92.0000 A32 1000 2 26.0000 n2 n1 29 N n2->n0->n1
93.0000 F21 1000 7 49.0000 n46 n14 29 N n46->n45->n2->n0->n3->n7->n8->n14
97.0000 F29 1000 4 37.0000 n30 n41 29 N n30->n3->n0->n1->n41
99.0000 A33 1000 2 31.0000 n3 n1 29 N n3->n0->n1
100.0000 R_A34 500 2 13.0000 n0 n4 29 Y n0->n1->n4
101.0000 A35 1000 3 29.0000 n5 n0 29 N n5->n4->n1->n0
102.0000 A48 1000 2 4.0000 n18 n70 29 N n18->n65->n70
102.0000 A36 1000 2 28.0000 n6 n0 29 N n6->n1->n0
106.0000 A43 1000 2 18.0000 n13 n0 29 N n13->n3->n0
107.0000 R_A31 500 2 23.0000 n3 n1 29 Y n3->n0->n1
107.0000 A38 1000 3 29.0000 n8 n0 29 N n8->n7->n3->n0
108.0000 F26 1000 9 54.0000 n32 n52 29 N n32->n11->n1->n0->n3->n7->n8->n19->n21->n52
109.0000 F28 1000 6 51.0000 n38 n71 29 N n38->n28->n1->n0->n2->n15->n71
109.0000 R_A48 500 2 7.0000 n70 n18 29 Y n70->n65->n18
111.0000 A39 1000 3 31.0000 n9 n0 29 N n9->n4->n1->n0
111.0000 R_A36 500 2 9.0000 n0 n6 29 Y n0->n1->n6
112.0000 R_A35 500 3 11.0000 n0 n5 29 Y n0->n1->n4->n5
114.0000 R_A32 500 2 22.0000 n1 n2 29 Y n1->n0->n2
118.0000 A41 1000 2 34.0000 n11 n0 29 N n11->n1->n0
119.0000 R_A43 500 2 13.0000 n0 n13 29 Y n0->n3->n13
119.0000 R_A30 500 2 35.0000 n4 n0 29 Y n4->n1->n0
124.0000 A58 1000 2 6.0000 n28 n0 29 N n28->n1->n0
125.0000 A45 1000 2 33.0000 n15 n0 29 N n15->n2->n0
125.0000 R_A38 500 3 18.0000 n0 n8 29 Y n0->n3->n7->n8
125.0000 R_A41 500 2 7.0000 n0 n11 29 Y n0->n1->n11
128.0000 A56 1000 2 14.0000 n26 n0 29 N n26->n2->n0
128.0000 R_A45 500 2 3.0000 n0 n15 29 Y n0->n2->n15
128.0000 R_A39 500 3 17.0000 n0 n9 29 Y n0->n1->n4->n9
129.0000 A59 1000 3 9.0000 n29 n0 29 N n29->n15->n2->n0
130.0000 R_A33 500 2 31.0000 n1 n3 29 Y n1->n0->n3
133.0000 R_A56 500 2 5.0000 n0 n26 29 Y n0->n2->n26
133.0000 A42 1000 4 47.0000 n12 n0 29 N n12->n9->n4->n1->n0
134.0000 A46 1000 3 40.0000 n16 n0 29 N n16->n4->n1->n0
136.0000 R_A59 500 3 7.0000 n0 n29 29 Y n0->n2->n15->n29
137.0000 R_A58 500 2 13.0000 n0 n28 29 Y n0->n1->n28
139.0000 A40 1000 3 57.0000 n10 n0 29 N n10->n7->n3->n0
145.0000 A44 1000 4 55.0000 n14 n0 29 N n14->n8->n7->n3->n0
146.0000 A49 1000 4 46.0000 n19 n0 29 N n19->n8->n7->n3->n0
148.0000 A53 1000 3 40.0000 n23 n0 29 N n23->n7->n3->n0
149.0000 A60 1000 2 27.0000 n30 n0 29 N n30->n3->n0
151.0000 A47 1000 3 55.0000 n17 n0 29 N n17->n4->n1->n0
152.0000 A50 1000 4 50.0000 n20 n0 29 N n20->n17->n4->n1->n0
152.0000 R_A46 500 3 18.0000 n0 n16 29 Y n0->n1->n4->n16
155.0000 R_A42 500 4 22.0000 n0 n12 29 Y n0->n1->n4->n9->n12
156.0000 A55 1000 4 44.0000 n25 n0 29 N n25->n23->n7->n3->n0
157.0000 A51 1000 5 53.0000 n21 n0 29 N n21->n19->n8->n7->n3->n0
158.0000 A65 1000 3 26.0000 n35 n0 29 N n35->n13->n3->n0
165.0000 A79 1000 2 5.0000 n49 n2 29 N n49->n0->n2
170.0000 A74 1000 2 20.0000 n44 n0 29 N n44->n1->n0
171.0000 R_A40 500 3 32.0000 n0 n10 29 Y n0->n3->n7->n10
171.0000 A62 1000 3 45.0000 n32 n0 29 N n32->n11->n1->n0
176.0000 R_A44 500 4 31.0000 n0 n14 29 Y n0->n3->n7->n8->n14
176.0000 A71 1000 2 32.0000 n41 n0 29 N n41->n1->n0
177.0000 A68 1000 3 39.0000 n38 n0 29 N n38->n28->n1->n0
177.0000 R_A60 500 2 28.0000 n0 n30 29 Y n0->n3->n30
179.0000 A52 1000 3 73.0000 n22 n0 28 N n22->n4->n1->n0
180.0000 A57 1000 3 64.0000 n27 n0 28 N n27->n4->n1->n0
181.0000 R_A53 500 3 33.0000 n0 n23 29 Y n0->n3->n7->n23
183.0000 R_A49 500 4 37.0000 n0 n19 29 Y n0->n3->n7->n8->n19
184.0000 A64 1000 5 54.0000 n34 n0 29 N n34->n20->n17->n4->n1->n0
185.0000 A63 1000 2 57.0000 n33 n0 29 N n33->n1->n0
190.0000 A69 1000 3 50.0000 n39 n0 29 N n39->n33->n1->n0
191.0000 A81 1000 3 27.0000 n51 n0 29 N n51->n11->n1->n0
192.0000 R_A55 500 4 36.0000 n0 n25 29 Y n0->n3->n7->n23->n25
192.0000 A70 1000 3 50.0000 n40 n0 29 N n40->n4->n1->n0
194.0000 A95 1000 2 2.0000 n65 n77 29 N n65->n70->n77
196.0000 A75 1000 2 44.0000 n45 n0 29 N n45->n2->n0
196.0000 R_A95 500 2 2.0000 n77 n65 29 Y n77->n70->n65
198.0000 R_A51 500 5 41.0000 n0 n21 29 Y n0->n3->n7->n8->n19->n21
199.0000 R_A79 500 2 34.0000 n2 n49 29 Y n2->n0->n49
200.0000 A78 1000 4 42.0000 n48 n0 29 N n48->n40->n4->n1->n0
201.0000 A83 1000 3 33.0000 n53 n0 29 N n53->n4->n1->n0
207.0000 R_A47 500 3 56.0000 n0 n17 29 Y n0->n1->n4->n17
208.0000 A76 1000 3 54.0000 n46 n0 29 N n46->n45->n2->n0
208.0000 R_A65 500 3 50.0000 n0 n35 29 Y n0->n3->n13->n35
209.0000 A87 1000 3 33.0000 n57 n0 29 N n57->n45->n2->n0
209.0000 R_A50 500 4 57.0000 n0 n20 29 Y n0->n1->n4->n17->n20
211.0000 R_A75 500 2 15.0000 n0 n45 29 Y n0->n2->n45
212.0000 A54 1000 2 102.0000 n24 n0 28 N n24->n3->n0
213.0000 A67 1000 2 77.0000 n37 n0 28 N n37->n3->n0
216.0000 A86 1000 3 42.0000 n56 n0 29 N n56->n45->n2->n0
217.0000 A93 1000 3 29.0000 n63 n0 29 N n63->n15->n2->n0
218.0000 A96 1000 4 24.0000 n66 n0 29 N n66->n57->n45->n2->n0
218.0000 R_A76 500 3 10.0000 n0 n46 29 Y n0->n2->n45->n46
219.0000 A101 1000 3 15.0000 n71 n0 29 N n71->n15->n2->n0
222.0000 R_A87 500 3 13.0000 n0 n57 29 Y n0->n2->n45->n57
227.0000 R_A86 500 3 11.0000 n0 n56 29 Y n0->n2->n45->n56
232.0000 A77 1000 2 76.0000 n47 n1 28 N n47->n0->n1
235.0000 A88 1000 3 57.0000 n58 n0 29 N n58->n4->n1->n0
236.0000 A89 1000 5 56.0000 n59 n0 29 N n59->n12->n9->n4->n1->n0
237.0000 R_A93 500 3 20.0000 n0 n63 29 Y n0->n2->n15->n63
237.0000 A94 1000 4 47.0000 n64 n0 29 N n64->n51->n11->n1->n0
239.0000 R_A74 500 2 69.0000 n0 n44 28 Y n0->n1->n44
241.0000 R_A101 500 3 22.0000 n0 n71 29 Y n0->n2->n15->n71
242.0000 R_A71 500 2 66.0000 n0 n41 28 Y n0->n1->n41
244.0000 R_A96 500 4 26.0000 n0 n66 29 Y n0->n2->n45->n57->n66
245.0000 R_A68 500 3 68.0000 n0 n38 28 Y n0->n1->n28->n38
245.0000 R_A62 500 3 74.0000 n0 n32 28 Y n0->n1->n11->n32
249.0000 A110 1000 3 27.0000 n80 n0 29 N n80->n26->n2->n0
250.0000 A104 1000 3 40.0000 n74 n0 29 N n74->n15->n2->n0
254.0000 A80 1000 4 92.0000 n50 n0 28 N n50->n39->n33->n1->n0
254.0000 R_A52 500 3 75.0000 n0 n22 28 Y n0->n1->n4->n22
255.0000 A103 1000 3 47.0000 n73 n0 29 N n73->n33->n1->n0
257.0000 A90 1000 5 75.0000 n60 n0 28 N n60->n12->n9->n4->n1->n0
258.0000 R_A110 500 3 9.0000 n0 n80 29 Y n0->n2->n26->n80
258.0000 A97 1000 4 62.0000 n67 n0 28 N n67->n9->n4->n1->n0
259.0000 R_A104 500 3 9.0000 n0 n74 29 Y n0->n2->n15->n74
260.0000 R_A57 500 3 80.0000 n0 n27 28 Y n0->n1->n4->n27
262.0000 A84 1000 2 92.0000 n54 n1 28 N n54->n0->n1
266.0000 A127 1000 2 10.0000 n97 n0 29 N n97->n78->n0
267.0000 A115 1000 3 35.0000 n85 n0 29 N n85->n45->n2->n0
269.0000 R_A127 500 2 3.0000 n0 n97 29 Y n0->n78->n97
269.0000 A130 1000 2 7.0000 n0 n45 29 N n0->n2->n45
271.0000 R_A64 500 5 87.0000 n0 n34 28 Y n0->n1->n4->n17->n20->n34
273.0000 A106 1000 3 59.0000 n76 n0 29 N n76->n4->n1->n0
275.0000 R_A115 500 3 8.0000 n0 n85 29 Y n0->n2->n45->n85
276.0000 R_A77 500 2 44.0000 n1 n47 29 Y n1->n0->n47
276.0000 A135 1000 2 4.0000 n5 n1 29 N n5->n4->n1
278.0000 A120 1000 3 36.0000 n90 n0 29 N n90->n15->n2->n0
279.0000 A99 1000 2 79.0000 n69 n0 28 N n69->n1->n0
280.0000 R_A135 500 2 4.0000 n1 n5 29 Y n1->n4->n5
282.0000 A109 1000 3 62.0000 n79 n0 28 N n79->n69->n1->n0
282.0000 R_A63 500 2 97.0000 n0 n33 28 Y n0->n1->n33
283.0000 A116 1000 4 49.0000 n86 n0 29 N n86->n9->n4->n1->n0
285.0000 A139 1000 2 5.0000 n9 n1 29 N n9->n4->n1
287.0000 R_A120 500 3 9.0000 n0 n90 29 Y n0->n2->n15->n90
289.0000 A66 1000 4 155.0000 n36 n0 27 N n36->n35->n13->n3->n0
290.0000 A72 1000 4 144.0000 n42 n0 27 N n42->n35->n13->n3->n0
291.0000 A61 1000 2 167.0000 n31 n0 27 N n31->n3->n0
291.0000 R_A139 500 2 6.0000 n1 n9 29 Y n1->n4->n9
292.0000 R_A69 500 3 102.0000 n0 n39 28 Y n0->n1->n33->n39
293.0000 A141 1000 2 9.0000 n11 n33 29 N n11->n1->n33
294.0000 R_A81 500 3 103.0000 n0 n51 28 Y n0->n1->n11->n51
296.0000 A117 1000 4 60.0000 n87 n0 29 N n87->n76->n4->n1->n0
297.0000 R_A141 500 2 4.0000 n33 n11 29 Y n33->n1->n11
298.0000 R_A84 500 2 36.0000 n1 n54 29 Y n1->n0->n54
301.0000 R_A130 500 2 32.0000 n45 n0 29 Y n45->n2->n0
303.0000 A91 1000 5 119.0000 n61 n0 28 N n61->n36->n35->n13->n3->n0
304.0000 A146 1000 2 10.0000 n16 n1 29 N n16->n4->n1
305.0000 A147 1000 2 9.0000 n17 n1 29 N n17->n4->n1
305.0000 A82 1000 6 139.0000 n52 n0 27 N n52->n21->n19->n8->n7->n3->n0
306.0000 A85 1000 5 134.0000 n55 n0 27 N n55->n19->n8->n7->n3->n0
306.0000 A148 1000 3 8.0000 n18 n77 29 N n18->n65->n70->n77
310.0000 A129 1000 3 50.0000 n99 n0 29 N n99->n33->n1->n0
311.0000 A142 1000 3 25.0000 n12 n1 29 N n12->n9->n4->n1
311.0000 A131 1000 2 47.0000 n1 n2 29 N n1->n0->n2
311.0000 R_A148 500 3 5.0000 n77 n18 29 Y n77->n70->n65->n18
312.0000 A152 1000 2 6.0000 n22 n1 29 N n22->n4->n1
313.0000 R_A70 500 3 121.0000 n0 n40 27 Y n0->n1->n4->n40
314.0000 A118 1000 2 76.0000 n88 n0 28 N n88->n49->n0
314.0000 R_A54 500 2 102.0000 n0 n24 28 Y n0->n3->n24
317.0000 A92 1000 5 131.0000 n62 n0 27 N n62->n14->n8->n7->n3->n0
317.0000 R_A118 500 2 3.0000 n0 n88 29 Y n0->n49->n88
318.0000 A100 1000 4 116.0000 n70 n0 28 N n70->n65->n18->n3->n0
319.0000 R_A146 500 2 15.0000 n1 n16 29 Y n1->n4->n16
320.0000 R_A67 500 2 107.0000 n0 n37 28 Y n0->n3->n37
322.0000 A105 1000 3 110.0000 n75 n0 28 N n75->n37->n3->n0
323.0000 A98 1000 4 125.0000 n68 n0 27 N n68->n10->n7->n3->n0
323.0000 R_A147 500 2 18.0000 n1 n17 29 Y n1->n4->n17
327.0000 A102 1000 4 121.0000 n72 n0 27 N n72->n8->n7->n3->n0
328.0000 A107 1000 5 112.0000 n77 n0 28 N n77->n70->n65->n18->n3->n0
329.0000 A114 1000 2 99.0000 n84 n0 28 N n84->n3->n0
329.0000 R_A152 500 2 17.0000 n1 n22 29 Y n1->n4->n22
329.0000 R_A142 500 3 18.0000 n1 n12 29 Y n1->n4->n9->n12
335.0000 R_A78 500 4 135.0000 n0 n48 27 Y n0->n1->n4->n40->n48
335.0000 R_A83 500 3 134.0000 n0 n53 27 Y n0->n1->n4->n53
336.0000 A162 1000 2 10.0000 n32 n1 29 N n32->n11->n1
337.0000 A119 1000 2 97.0000 n89 n0 28 N n89->n1->n0
338.0000 A126 1000 3 84.0000 n96 n0 28 N n96->n4->n1->n0
340.0000 R_A162 500 2 4.0000 n1 n32 29 Y n1->n11->n32
341.0000 A150 1000 3 39.0000 n20 n1 29 N n20->n17->n4->n1
342.0000 A157 1000 2 26.0000 n27 n1 29 N n27->n4->n1
346.0000 A112 1000 5 120.0000 n82 n0 28 N n82->n70->n65->n18->n3->n0
347.0000 A111 1000 6 123.0000 n81 n0 27 N n81->n77->n70->n65->n18->n3->n0
348.0000 A168 1000 2 10.0000 n38 n1 29 N n38->n28->n1
349.0000 A169 1000 2 9.0000 n39 n1 29 N n39->n33->n1
350.0000 R_A168 500 2 2.0000 n1 n38 29 Y n1->n28->n38
355.0000 A173 1000 2 7.0000 n43 n2 29 N n43->n0->n2
355.0000 R_A169 500 2 6.0000 n1 n39 29 Y n1->n33->n39
362.0000 R_A157 500 2 20.0000 n1 n27 29 Y n1->n4->n27
363.0000 A164 1000 4 33.0000 n34 n1 29 N n34->n20->n17->n4->n1
363.0000 R_A150 500 3 22.0000 n1 n20 29 Y n1->n4->n17->n20
364.0000 A170 1000 2 22.0000 n40 n1 29 N n40->n4->n1
366.0000 A177 1000 2 10.0000 n47 n2 29 N n47->n0->n2
367.0000 A179 1000 3 7.0000 n49 n15 29 N n49->n0->n2->n15
