2 C F0 93 59 1000
4 C F1 53 91 1000
6 C F2 54 43 1000
8 C F3 57 96 1000
10 C F4 32 83 1000
12 C F5 63 49 1000
14 C F6 4 66 1000
16 C F7 62 22 1000
18 C F8 93 17 1000
20 C F9 93 4 1000
22 C F10 36 91 1000
24 C F11 69 46 1000
26 C F12 88 56 1000
28 C F13 12 24 1000
30 C F14 62 28 1000
32 C F15 73 32 1000
34 C F16 77 96 1000
36 C F17 47 32 1000
38 C F18 78 71 1000
40 C F19 81 37 1000
42 C F20 27 85 1000
44 C F21 46 14 1000
46 C F22 30 28 1000
48 C F23 1 93 1000
50 C F24 7 10 1000
52 C F25 30 3 1000
54 C F26 32 52 1000
56 C F27 79 32 1000
58 C F28 38 71 1000
60 C F29 30 41 1000
62 C A30 0 4 1000 500
64 C A31 1 3 1000 500
66 C A32 2 1 1000 500
68 C A33 3 1 1000 500
70 C A34 4 0 1000 500
72 C A35 5 0 1000 500
74 C A36 6 0 1000 500
76 C A37 7 14 1000 500
78 C A38 8 0 1000 500
80 C A39 9 0 1000 500
82 C A40 10 0 1000 500
84 C A41 11 0 1000 500
86 C A42 12 0 1000 500
88 C A43 13 0 1000 500
90 C A44 14 0 1000 500
92 C A45 15 0 1000 500
94 C A46 16 0 1000 500
96 C A47 17 0 1000 500
98 C A48 18 70 1000 500
100 C A49 19 0 1000 500
102 C A50 20 0 1000 500
104 C A51 21 0 1000 500
106 C A52 22 0 1000 500
108 C A53 23 0 1000 500
110 C A54 24 0 1000 500
112 C A55 25 0 1000 500
114 C A56 26 0 1000 500
116 C A57 27 0 1000 500
118 C A58 28 0 1000 500
120 C A59 29 0 1000 500
122 C A60 30 0 1000 500
124 C A61 31 0 1000 500
126 C A62 32 0 1000 500
128 C A63 33 0 1000 500
130 C A64 34 0 1000 500
132 C A65 35 0 1000 500
134 C A66 36 0 1000 500
136 C A67 37 0 1000 500
138 C A68 38 0 1000 500
140 C A69 39 0 1000 500
142 C A70 40 0 1000 500
144 C A71 41 0 1000 500
146 C A72 42 0 1000 500
148 C A73 43 1 1000 500
150 C A74 44 0 1000 500
152 C A75 45 0 1000 500
154 C A76 46 0 1000 500
156 C A77 47 1 1000 500
158 C A78 48 0 1000 500
160 C A79 49 2 1000 500
162 C A80 50 0 1000 500
164 C A81 51 0 1000 500
166 C A82 52 0 1000 500
168 C A83 53 0 1000 500
170 C A84 54 1 1000 500
172 C A85 55 0 1000 500
174 C A86 56 0 1000 500
176 C A87 57 0 1000 500
178 C A88 58 0 1000 500
180 C A89 59 0 1000 500
182 C A90 60 0 1000 500
184 C A91 61 0 1000 500
186 C A92 62 0 1000 500
188 C A93 63 0 1000 500
190 C A94 64 0 1000 500
192 C A95 65 77 1000 500
194 C A96 66 0 1000 500
196 C A97 67 0 1000 500
198 C A98 68 0 1000 500
200 C A99 69 0 1000 500
202 C A100 70 0 1000 500
204 C A101 71 0 1000 500
206 C A102 72 0 1000 500
208 C A103 73 0 1000 500
210 C A104 74 0 1000 500
212 C A105 75 0 1000 500
214 C A106 76 0 1000 500
216 C A107 77 0 1000 500
218 C A108 78 1 1000 500
220 C A109 79 0 1000 500
222 C A110 80 0 1000 500
224 C A111 81 0 1000 500
226 C A112 82 0 1000 500
228 C A113 83 0 1000 500
230 C A114 84 0 1000 500
232 C A115 85 0 1000 500
234 C A116 86 0 1000 500
236 C A117 87 0 1000 500
238 C A118 88 0 1000 500
240 C A119 89 0 1000 500
242 C A120 90 0 1000 500
244 C A121 91 0 1000 500
246 C A122 92 0 1000 500
248 C A123 93 0 1000 500
250 C A124 94 0 1000 500
252 C A125 95 0 1000 500
254 C A126 96 0 1000 500
256 C A127 97 0 1000 500
258 C A128 98 0 1000 500
260 C A129 99 0 1000 500
262 C A130 0 45 1000 500
264 C A131 1 2 1000 500
266 C A132 2 4 1000 500
268 C A133 3 4 1000 500
270 C A134 4 3 1000 500
272 C A135 5 1 1000 500
274 C A136 6 2 1000 500
276 C A137 7 0 1000 500
278 C A138 8 1 1000 500
280 C A139 9 1 1000 500
282 C A140 10 1 1000 500
284 C A141 11 33 1000 500
286 C A142 12 1 1000 500
288 C A143 13 1 1000 500
290 C A144 14 1 1000 500
292 C A145 15 1 1000 500
294 C A146 16 1 1000 500
296 C A147 17 1 1000 500
298 C A148 18 77 1000 500
300 C A149 19 1 1000 500
302 C A150 20 1 1000 500
304 C A151 21 1 1000 500
306 C A152 22 1 1000 500
308 C A153 23 1 1000 500
310 C A154 24 1 1000 500
312 C A155 25 1 1000 500
314 C A156 26 1 1000 500
316 C A157 27 1 1000 500
318 C A158 28 2 1000 500
320 C A159 29 1 1000 500
322 C A160 30 1 1000 500
324 C A161 31 1 1000 500
326 C A162 32 1 1000 500
328 C A163 33 2 1000 500
330 C A164 34 1 1000 500
332 C A165 35 1 1000 500
334 C A166 36 1 1000 500
336 C A167 37 1 1000 500
338 C A168 38 1 1000 500
340 C A169 39 1 1000 500
342 C A170 40 1 1000 500
344 C A171 41 2 1000 500
346 C A172 42 1 1000 500
348 C A173 43 2 1000 500
350 C A174 44 2 1000 500
352 C A175 45 1 1000 500
354 C A176 46 1 1000 500
356 C A177 47 2 1000 500
358 C A178 48 1 1000 500
360 C A179 49 15 1000 500
362 C A180 50 1 1000 500
364 C A181 51 1 1000 500
366 C A182 52 1 1000 500
368 C A183 53 1 1000 500
370 C A184 54 2 1000 500
372 C A185 55 1 1000 500
374 C A186 56 2 1000 500
376 C A187 57 1 1000 500
378 C A188 58 1 1000 500
380 C A189 59 1 1000 500
382 C A190 60 1 1000 500
384 C A191 61 1 1000 500
386 C A192 62 1 1000 500
388 C A193 63 1 1000 500
390 C A194 64 1 1000 500
392 C A195 65 0 1000 500
394 C A196 66 1 1000 500
396 C A197 67 1 1000 500
398 C A198 68 1 1000 500
400 C A199 69 2 1000 500
402 C A200 70 1 1000 500
404 C A201 71 2 1000 500
406 C A202 72 1 1000 500
408 C A203 73 1 1000 500
410 C A204 74 1 1000 500
412 C A205 75 1 1000 500
414 C A206 76 1 1000 500
416 C A207 77 1 1000 500
418 C A208 78 2 1000 500
420 C A209 79 1 1000 500
422 C A210 80 1 1000 500
424 C A211 81 1 1000 500
426 C A212 82 1 1000 500
428 C A213 83 1 1000 500
430 C A214 84 1 1000 500
432 C A215 85 1 1000 500
434 C A216 86 1 1000 500
436 C A217 87 1 1000 500
438 C A218 88 1 1000 500
440 C A219 89 2 1000 500
442 C A220 90 1 1000 500
444 C A221 91 1 1000 500
446 C A222 92 1 1000 500
448 C A223 93 1 1000 500
450 C A224 94 1 1000 500
452 C A225 95 1 1000 500
454 C A226 96 1 1000 500
456 C A227 97 1 1000 500
458 C A228 98 1 1000 500
460 C A229 99 1 1000 500
462 C A230 0 11 1000 500
464 C A231 1 45 1000 500
466 C A232 2 49 1000 500
468 C A233 3 11 1000 500
470 C A234 4 2 1000 500
472 C A235 5 2 1000 500
474 C A236 6 3 1000 500
476 C A237 7 1 1000 500
478 C A238 8 2 1000 500
480 C A239 9 3 1000 500
482 C A240 10 2 1000 500
484 C A241 11 2 1000 500
486 C A242 12 3 1000 500
488 C A243 13 2 1000 500
490 C A244 14 2 1000 500
492 C A245 15 3 1000 500
494 C A246 16 2 1000 500
496 C A247 17 3 1000 500
498 C A248 18 0 1000 500
500 C A249 19 2 1000 500
502 C A250 20 2 1000 500
504 C A251 21 2 1000 500
506 C A252 22 3 1000 500
508 C A253 23 2 1000 500
510 C A254 24 2 1000 500
512 C A255 25 2 1000 500
514 C A256 26 3 1000 500
516 C A257 27 2 1000 500
518 C A258 28 3 1000 500
520 C A259 29 2 1000 500
522 C A260 30 2 1000 500
524 C A261 31 2 1000 500
526 C A262 32 33 1000 500
528 C A263 33 3 1000 500
530 C A264 34 2 1000 500
532 C A265 35 2 1000 500
534 C A266 36 2 1000 500
536 C A267 37 11 1000 500
538 C A268 38 2 1000 500
540 C A269 39 2 1000 500
542 C A270 40 2 1000 500
544 C A271 41 3 1000 500
546 C A272 42 2 1000 500
548 C A273 43 3 1000 500
550 C A274 44 3 1000 500
552 C A275 45 4 1000 500
554 C A276 46 2 1000 500
556 C A277 47 3 1000 500
558 C A278 48 2 1000 500
560 C A279 49 1 1000 500
562 C A280 50 2 1000 500
564 C A281 51 2 1000 500
566 C A282 52 2 1000 500
568 C A283 53 2 1000 500
570 C A284 54 3 1000 500
572 C A285 55 2 1000 500
574 C A286 56 49 1000 500
576 C A287 57 2 1000 500
578 C A288 58 2 1000 500
580 C A289 59 3 1000 500
582 C A290 60 2 1000 500
584 C A291 61 2 1000 500
586 C A292 62 2 1000 500
588 C A293 63 2 1000 500
590 C A294 64 2 1000 500
592 C A295 65 1 1000 500
594 C A296 66 2 1000 500
596 C A297 67 2 1000 500
598 C A298 68 2 1000 500
600 C A299 69 3 1000 500
602 C A300 70 2 1000 500
604 C A301 71 1 1000 500
606 C A302 72 2 1000 500
608 C A303 73 2 1000 500
610 C A304 74 2 1000 500
612 C A305 75 3 1000 500
614 C A306 76 2 1000 500
616 C A307 77 2 1000 500
618 C A308 78 3 1000 500
620 C A309 79 2 1000 500
622 C A310 80 2 1000 500
624 C A311 81 2 1000 500
626 C A312 82 2 1000 500
628 C A313 83 3 1000 500
630 C A314 84 2 1000 500
632 C A315 85 2 1000 500
634 C A316 86 2 1000 500
636 C A317 87 2 1000 500
638 C A318 88 2 1000 500
640 C A319 89 3 1000 500
642 C A320 90 2 1000 500
644 C A321 91 4 1000 500
646 C A322 92 2 1000 500
648 C A323 93 2 1000 500
650 C A324 94 2 1000 500
652 C A325 95 2 1000 500
654 C A326 96 3 1000 500
656 C A327 97 2 1000 500
658 C A328 98 2 1000 500
660 C A329 99 2 1000 500
662 C A330 0 15 1000 500
664 C A331 1 18 1000 500
666 C A332 2 57 1000 500
668 C A333 3 65 1000 500
670 C A334 4 45 1000 500
672 C A335 5 3 1000 500
674 C A336 6 4 1000 500
676 C A337 7 2 1000 500
678 C A338 8 3 1000 500
680 C A339 9 2 1000 500
682 C A340 10 3 1000 500
684 C A341 11 3 1000 500
686 C A342 12 4 1000 500
688 C A343 13 4 1000 500
690 C A344 14 3 1000 500
692 C A345 15 4 1000 500
694 C A346 16 3 1000 500
696 C A347 17 2 1000 500
698 C A348 18 1 1000 500
700 C A349 19 3 1000 500
702 C A350 20 3 1000 500
704 C A351 21 3 1000 500
706 C A352 22 7 1000 500
708 C A353 23 3 1000 500
710 C A354 24 4 1000 500
712 C A355 25 3 1000 500
714 C A356 26 4 1000 500
716 C A357 27 3 1000 500
718 C A358 28 4 1000 500
720 C A359 29 3 1000 500
722 C A360 30 4 1000 500
724 C A361 31 4 1000 500
726 C A362 32 2 1000 500
728 C A363 33 4 1000 500
730 C A364 34 3 1000 500
732 C A365 35 3 1000 500
734 C A366 36 3 1000 500
736 C A367 37 18 1000 500
